Region,Year,Month,SoilTemperature-10,SoilTemperature-30,SoilTemperature-50,Rainfall,Temperature,Min Temperature,Max Temperature,Humidity,Sunshine,Wind Speed,Surface Pressure,Solar Radiation
2,2001,1,17.4,18.81,19.43,0,18.38,13.04,25.44,62.68,7.94,2.17,101268.29,199.25
2,2001,2,19.88,19.98,20.36,1,22.61,16.9,28.56,61.71,7.19,1.98,101039.08,210.73
2,2001,3,24.08,23.32,23.17,33,26.62,20.73,31.84,55.48,8.75,2.1,100882.56,251.75
2,2001,4,27.62,27.02,26.77,46,29.06,24.71,32.06,65.63,8.55,2.7,100655.4,257.46
2,2001,5,28.54,28.29,28.21,402,27.69,24.18,32.09,77.39,6.1,2.37,100234.63,172.32
2,2001,6,30.11,29.82,29.64,386,28.03,25.55,31.75,83.17,3.51,3.64,99934.18,140.45
2,2001,7,30.74,30.53,30.64,202,28.83,25.92,31.6,80.26,4.55,3.87,99991.05,169.4
2,2001,8,30.99,30.99,30.86,205,29.46,25.23,31.5,82.19,5.15,3.01,100129.68,181.66
2,2001,9,29.83,29.89,29.95,209,28.71,24.34,32.42,82.53,4.65,2.14,100499.17,170.22
2,2001,10,28,28.29,28.5,177,27.63,22.83,31.44,80.45,5.6,1.59,100864.38,167.89
2,2001,11,24.83,25.77,26.23,18,24.51,19.31,28.89,79.43,6.4,1.46,101288.73,157.26
2,2001,12,19.87,21.19,22.04,0,19.85,14.89,26.07,76.61,7.19,1.9,101580.18,179.73
2,2002,1,18.45,19.53,20.1,22,19.71,14.65,21.76,66.97,7.41,1.83,101455.64,179.31
2,2002,2,20.55,20.73,20.95,4,22.56,16.74,27.97,59.11,8.81,2.14,101431.43,226.42
2,2002,3,24.37,23.65,23.49,51,26.25,20.28,30.02,55.55,7.84,2.05,100946.94,239.38
2,2002,4,26.09,25.87,25.74,111,27.56,22.44,34.02,71.83,8.2,2.84,100670.35,217.97
2,2002,5,28.33,27.91,27.71,272,27.84,23.92,33.99,75.55,5.62,2.92,100199.37,172.48
2,2002,6,29.48,29.28,29.14,373,28.32,25.79,31.41,82.13,2.54,3.25,100092.5,132.73
2,2002,7,29.52,29.48,29.5,446,28.52,25.17,32.41,84.39,1.78,3.25,99955.28,135.39
2,2002,8,30.41,30.17,30.09,272,28.62,25.26,32.49,82.87,4.33,3.03,100136.52,161.44
2,2002,9,30.26,30.33,30.41,156,28.92,25.34,31.69,77.73,5.5,2.39,100561.61,179.65
2,2002,10,28.31,28.6,28.84,52,27.36,22.99,31.24,78.1,6.72,1.47,100943.47,181.46
2,2002,11,24.3,25.12,25.69,36,24.02,19.82,29.75,72.8,6.62,1.73,101161.79,166.52
2,2002,12,20.71,22.01,22.62,0,20.29,15.98,25.9,70.74,6.34,1.79,101399.14,169.77
2,2003,1,16.75,18.2,19.01,0,16.24,11.72,21.76,80.9,5.22,2.08,101573.08,192.07
2,2003,2,19.98,19.92,20.11,25,22.15,16.94,27.97,67.61,7.4,1.96,101323.11,210.93
